Title,Price,Rating
It's Only the Himalayas,Â45.17,2
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Â49.43,4
See America: A Celebration of Our National Parks & Treasured Sites,Â48.87,3
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Â36.94,2
Under the Tuscan Sun,Â37.33,3
A Summer In Europe,Â44.34,2
The Great Railway Bazaar,Â30.54,1
A Year in Provence (Provence #1),Â56.88,4
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Â23.21,1
Neither Here nor There: Travels in Europe,Â38.95,3
"1,000 Places to See Before You Die",Â26.08,5
